도서명,부제목,출간일,분야,정가,평점,쪽수,eBook 여부,제목 길이,순위,베스트셀러 여부
언어의 온도(3주년 150만부 기념 에디션),말과 글에는 나름의 따뜻함과 차가움이 있다,20160819,시/에세이,13800,8.8,308,1,6,1,1
살인자의 기억법,김영하 장편소설,20130725,소설,10000,9.1,176,1,8,2,1
82년생 김지영(오늘의 젊은 작가 13)(양장본 HardCover),조남주 장편소설,20161014,소설,13000,8.9,192,1,8,3,1
말의 품격,말과 사람과 품격에 대한 생각들,20190318,인문,14500,8.7,232,1,5,4,1
나는 나로 살기로 했다,,20200316,시/에세이,13800,9,288,1,12,5,1
"명견만리: 정치, 생애, 직업, 탐구 편",지금까지 경험하지 못한 새로운 사회를 말하다,20170605,경제/경영,15800,9.6,304,1,22,6,1
주진우의 이명박 추격기,저수지를 찾아라,20170816,정치/사회,15000,8.9,272,1,12,7,1
나미야 잡화점의 기적(양장본 HardCover),,20121219,소설,14800,9.3,456,1,11,8,1
라틴어 수업(지적이고 아름다운 삶을 위한),,20190429,인문,15000,9.2,312,1,6,9,1
기사단장 죽이기. 1: 현현하는 이데아(양장본 HardCover),무라카미 하루키 장편소설,20170712,소설,16300,9.2,568,1,21,10,1
자존감 수업,하루에 하나 나를 사랑하게 되는 자존감 회복 훈련,20160901,인문,14000,9.2,304,1,6,11,1
나의 문화유산답사기. 9: 서울편(1),만천명월 주인옹은 말한다,20170821,역사/문화,18500,9,440,0,18,12,1
보노보노처럼 살다니 다행이야(윈터 에디션),,20170406,시/에세이,16000,9.2,320,0,15,13,1
오직 두 사람,김영하 소설,20170525,소설,13000,9.2,272,1,7,14,1
호모 데우스,미래의 역사,20170519,인문,22000,9.3,630,1,6,15,1
사피엔스,유인원에서 사이보그까지 인간 역사의 대담하고 위대한 질문,20151124,인문,22000,9.3,636,1,4,16,1
아무것도 아닌 지금은 없다,,20170801,시/에세이,13000,9.4,240,1,14,17,1
"명견만리: 윤리, 기술, 중국, 교육 편",우리가 준비해야 할 미래의 기회를 말하다,20160921,경제/경영,15800,9.6,320,1,22,18,1
#너에게(스페셜 에디션),"너에게 보내는 편지, 완글",20170825,시/에세이,12800,9.3,272,1,4,19,1
"명견만리: 인구, 경제, 북한, 의료 편",향후 인류에게 가장 중요한 것들을 말하다,20160607,경제/경영,15800,9.5,296,1,22,20,1
약간의 거리를 둔다,소노 아야코 에세이,20161020,시/에세이,9900,8.6,160,1,10,21,1
어떻게 살 것인가,,20130313,인문,15000,9.2,342,1,9,22,1
노르웨이의 숲(양장본 HardCover),,20170807,소설,15000,9.1,572,1,7,23,1
영어는 3단어로,내일 당장 대화가 되는 초간단 영어법,20170721,외국어,13500,9.3,276,1,8,24,1
잠. 1(양장본 HardCover),베르나르 베르베르 장편소설,20170608,소설,13800,9.3,336,1,4,25,1
